사업장명,좌표정보(Y),좌표정보(X),위생업태명
엘리펀트파크(더엘리펀트),440716.9859,202388.3426,커피숍
커피온(Coffee ON),447255.5992,191854.3789,커피숍
코코진,444683.2205,200250.4478,커피숍
헤리티지,450742.7506,194982.4155,커피숍
근로청소년복지관 까페드림(cafe-dream),441557.987,189643.9397,커피숍
카페크리스마스(caffe christmas),445008.5748,201877.8086,커피숍
카운트샵,443784.4875,199732.2944,커피숍
주)히코코,448255.1996,189878.4073,커피숍
우면동다방,440355.9766,201812.413,커피숍
다람쥐곳간,442438.5003,201310.1678,커피숍
디자인수다,442716.2019,201395.65,커피숍
"아이스박스, 커피",452589.7777,192261.3359,커피숍
노크(knock),451863.0444,193589.1235,커피숍
카페폭포,452710.6666,194407.1252,커피숍
티어블시즌스,450781.69,194997.4511,커피숍
카페 1000%,450551.1286,195245.2012,커피숍
100%오리지널커피,451222.0765,194934.4198,커피숍
회기역커피전문점,454277.7874,205168.9203,커피숍
라리 서울교대점,443685.6996,201159.4128,커피숍
밤비니실내놀이터,444714.5643,191979.4002,키즈카페
이디야 동부병원사거리점,452358.3672,202660.9861,커피숍
까페 더 트리(cafe THE TREE),441595.7502,203205.1922,커피숍
커피앳더코너,442031.6302,203685.7827,커피숍
어라운지(AROUNZ),448900.0408,190276.5051,커피숍
배블(babble),446638.2365,187137.2772,커피숍
이화상점 학생문화관점 카페,451143.7893,195287.7664,커피숍
스타벅스 가산케이에스점,442063.8599,189767.4168,커피숍
컴포즈커피 가산스카이밸리점,441801.1351,189603.2229,커피숍
자리(jari),450607.3039,194860.3574,커피숍
파파독스,454341.0218,204631.7283,커피숍
이넬INEL,444039.2264,192674.7979,커피숍
스케네 브라운,453003.2966,193642.3074,커피숍
더빈스11(The Beans11),450931.3634,193536.2989,커피숍
커피향기,453982.3013,208226.9299,커피숍
늘봄카페 서초여성가족플라자 서초센터점,444495.5856,201892.2372,커피숍
모퉁이,445124.1316,187954.1896,커피숍
(주)커피빈코리아 반포삼호맨션앞점,444468.7198,200982.1699,커피숍
맨투독(Man to Dog),446728.8111,185127.9295,커피숍
카페오슈,444811.3648,200554.744,커피숍
이디야커피 시흥유통센터점,437753.2065,191426.7706,커피숍
빽다방 목동파리공원점,448218.4437,189212.075,커피숍
카페 허니비즈,440963.7591,202175.0111,커피숍
행복플러스가게,440676.3799,203392.7935,커피숍
제이제이과자점,446709.3355,189084.5187,커피숍
투썸플레이스 신내홈플러스점,457054.7937,208208.7867,커피숍
커피콩콩,439033.4961,191648.9459,커피숍
설화,448262.0585,190821.1912,커피숍
조스타커피,446948.1927,189662.2477,커피숍
카페아이엠티여의도KBS점,447161.261,192624.5096,커피숍
마실다실,446360.2919,188720.1307,커피숍
페이브커피 이대김소영점,450735.3416,195147.4027,커피숍
메가엠지씨커피 목동우성점,445124.1316,187954.1896,커피숍
PT원두커피점,440170.5213,190824.3933,커피숍
사랑하는 카페,443101.5997,201808.2867,커피숍
이디야커피 가좌역점,451913.1105,192430.7478,커피숍
열매나무,445259.645,201683.7789,커피숍
커피브레이크,443326.1296,202503.8716,커피숍
카페정류장,446575.5975,187678.6432,커피숍
센티멘트 Sentiment,451656.8749,193666.3403,커피숍
컴포즈커피 신사세로수길점,446916.2289,202066.6024,커피숍
스페이스엠,440676.3799,203392.7935,커피숍
늘봄카페 내곡도서관점,438868.3561,204741.3576,커피숍
KFC 센트럴시티 매장,444683.2205,200250.4478,패스트푸드
델리쥬's,439267.7148,190779.497,커피숍
